Frame,Emotion Scores
97,"{'disgust': np.float64(0.004215084761381149), 'fear': np.float64(0.1499975484609604), 'happy': np.float64(0.0006488405866548419), 'neutral': np.float64(0.004019266478717328), 'sad': np.float64(0.0046454524155706165), 'surprise': np.float64(0.4267916798591614), 'anger': np.float64(0.0018006623705150563)}"
98,"{'disgust': np.float64(0.004289518892765046), 'fear': np.float64(0.16804060399532317), 'happy': np.float64(0.0006151929148472846), 'neutral': np.float64(0.0038813136890530594), 'sad': np.float64(0.005011696708388627), 'surprise': np.float64(0.4192422449588776), 'anger': np.float64(0.0019530398445203902)}"
99,"{'disgust': np.float64(0.004242729917168618), 'fear': np.float64(0.13558190703392028), 'happy': np.float64(0.0006161740864627063), 'neutral': np.float64(0.0039555893465876586), 'sad': np.float64(0.004596389890648425), 'surprise': np.float64(0.43289982676506045), 'anger': np.float64(0.0018976775731425733)}"
100,"{'disgust': np.float64(0.004475236237049103), 'fear': np.float64(0.19691070735454558), 'happy': np.float64(0.0006200019037351012), 'neutral': np.float64(0.003494491688907147), 'sad': np.float64(0.006298112478107215), 'surprise': np.float64(0.4069730043411255), 'anger': np.float64(0.0020643069094512614)}"
101,"{'disgust': np.float64(0.0048979133367538456), 'fear': np.float64(0.21103444933891297), 'happy': np.float64(0.0006469903164543211), 'neutral': np.float64(0.00373584121465683), 'sad': np.float64(0.007024793326854706), 'surprise': np.float64(0.4001516580581665), 'anger': np.float64(0.0021466846414841716)}"
102,"{'disgust': np.float64(0.005470008477568627), 'fear': np.float64(0.19602923512458803), 'happy': np.float64(0.0006626919726841152), 'neutral': np.float64(0.004202793464064598), 'sad': np.float64(0.008202800108119846), 'surprise': np.float64(0.4049070358276367), 'anger': np.float64(0.002173844601493329)}"
103,"{'disgust': np.float64(0.006182168275117875), 'fear': np.float64(0.1853065037727356), 'happy': np.float64(0.0007071679225191474), 'neutral': np.float64(0.004933743998408317), 'sad': np.float64(0.009036257937550547), 'surprise': np.float64(0.4076032876968384), 'anger': np.float64(0.0021084092021919788)}"
104,"{'disgust': np.float64(0.0064053314179182055), 'fear': np.float64(0.1903931826353073), 'happy': np.float64(0.0006979266181588173), 'neutral': np.float64(0.005007900297641754), 'sad': np.float64(0.009230498671531678), 'surprise': np.float64(0.40516372919082644), 'anger': np.float64(0.0021634821861516687)}"
105,"{'disgust': np.float64(0.006060176640748978), 'fear': np.float64(0.126861257404089), 'happy': np.float64(0.000680983008351177), 'neutral': np.float64(0.005286084040999413), 'sad': np.float64(0.007363225771114232), 'surprise': np.float64(0.4324009418487549), 'anger': np.float64(0.0019658410834381356)}"
106,"{'disgust': np.float64(0.006478507593274116), 'fear': np.float64(0.12419871792197228), 'happy': np.float64(0.0006650537950918078), 'neutral': np.float64(0.005578789636492729), 'sad': np.float64(0.007793478872627021), 'surprise': np.float64(0.43269975781440734), 'anger': np.float64(0.0019881892582634462)}"
107,"{'disgust': np.float64(0.0061158864945173265), 'fear': np.float64(0.08872537270188333), 'happy': np.float64(0.000647679262328893), 'neutral': np.float64(0.00583964578807354), 'sad': np.float64(0.005730620385147632), 'surprise': np.float64(0.44836193323135376), 'anger': np.float64(0.0018269618664635344)}"
108,"{'disgust': np.float64(0.0061251562088727955), 'fear': np.float64(0.07771186709403992), 'happy': np.float64(0.0006039249594323338), 'neutral': np.float64(0.006711985990405084), 'sad': np.float64(0.005132408016361297), 'surprise': np.float64(0.45216339230537417), 'anger': np.float64(0.001870054829050787)}"
109,"{'disgust': np.float64(0.01108574226498604), 'fear': np.float64(0.04840580966323614), 'happy': np.float64(0.0007000399753451347), 'neutral': np.float64(0.05823122911155224), 'sad': np.float64(0.03042797535192222), 'surprise': np.float64(0.38519206196069716), 'anger': np.float64(0.002419834307511337)}"
110,"{'disgust': np.float64(0.018872438967227935), 'fear': np.float64(0.04364997860044241), 'happy': np.float64(0.0007796234334819019), 'neutral': np.float64(0.10827332407236101), 'sad': np.float64(0.07648030540440232), 'surprise': np.float64(0.29859197735786436), 'anger': np.float64(0.003349268389865756)}"
111,"{'disgust': np.float64(0.025846031904220586), 'fear': np.float64(0.017063550129532812), 'happy': np.float64(0.0008359089959412813), 'neutral': np.float64(0.1534112311899662), 'sad': np.float64(0.1331782636838034), 'surprise': np.float64(0.22296676710247992), 'anger': np.float64(0.003931653584586457)}"
112,"{'disgust': np.float64(0.032365553975105286), 'fear': np.float64(0.010210624560713769), 'happy': np.float64(0.0008768279454670847), 'neutral': np.float64(0.19914076909422876), 'sad': np.float64(0.1990803354419768), 'surprise': np.float64(0.1344941698014736), 'anger': np.float64(0.004520351567771286)}"
113,"{'disgust': np.float64(0.04104843854904175), 'fear': np.float64(0.006335193403065205), 'happy': np.float64(0.0009161893394775689), 'neutral': np.float64(0.22804578781127932), 'sad': np.float64(0.30803322643041614), 'surprise': np.float64(0.044878901168704036), 'anger': np.float64(0.0051933985948562624)}"
114,"{'disgust': np.float64(0.03999294936656952), 'fear': np.float64(0.0054654676280915734), 'happy': np.float64(0.0008782806340605021), 'neutral': np.float64(0.21198400974273685), 'sad': np.float64(0.3893196457624436), 'surprise': np.float64(0.029113087430596353), 'anger': np.float64(0.004912190581671893)}"
115,"{'disgust': np.float64(0.03736959040164948), 'fear': np.float64(0.004789418242871761), 'happy': np.float64(0.0009005130268633366), 'neutral': np.float64(0.2006029295921326), 'sad': np.float64(0.4396411752700806), 'surprise': np.float64(0.022427070513367654), 'anger': np.float64(0.00452776773367077)}"
116,"{'disgust': np.float64(0.03407193541526794), 'fear': np.float64(0.0039269978553056716), 'happy': np.float64(0.00086771787609905), 'neutral': np.float64(0.16914144039154053), 'sad': np.float64(0.5506814312934877), 'surprise': np.float64(0.013774458784610033), 'anger': np.float64(0.0042785455402918155)}"
117,"{'disgust': np.float64(0.03171647548675537), 'fear': np.float64(0.003300260938704014), 'happy': np.float64(0.0008749210042878986), 'neutral': np.float64(0.1322250211238861), 'sad': np.float64(0.6653183138370514), 'surprise': np.float64(0.00951808150857687), 'anger': np.float64(0.004404555473010987)}"
118,"{'disgust': np.float64(0.02338960096240044), 'fear': np.float64(0.002661627223715186), 'happy': np.float64(0.000906198495067656), 'neutral': np.float64(0.10266997814178466), 'sad': np.float64(0.7665447187423707), 'surprise': np.float64(0.005965551175177097), 'anger': np.float64(0.003929921071976423)}"
119,"{'disgust': np.float64(0.0198695681989193), 'fear': np.float64(0.0022200980130583046), 'happy': np.float64(0.0014042127528227865), 'neutral': np.float64(0.06892263740301133), 'sad': np.float64(0.8673628103733062), 'surprise': np.float64(0.004229090851731598), 'anger': np.float64(0.0038071380509063606)}"
120,"{'disgust': np.float64(0.014738678857684137), 'fear': np.float64(0.0019306011032313108), 'happy': np.float64(0.0016688345815055073), 'neutral': np.float64(0.030403731614351275), 'sad': np.float64(0.9838267040252686), 'surprise': np.float64(0.0025686097331345083), 'anger': np.float64(0.0033965636347420515)}"
121,"{'disgust': np.float64(0.010474935546517372), 'fear': np.float64(0.001794444378465414), 'happy': np.float64(0.0021591402939520775), 'neutral': np.float64(0.016453324481844906), 'sad': np.float64(1.0285988485813142), 'surprise': np.float64(0.0019287128467112779), 'anger': np.float64(0.0031373725377488886)}"
122,"{'disgust': np.float64(0.005986448675394059), 'fear': np.float64(0.0016662549879401922), 'happy': np.float64(0.003378718288149685), 'neutral': np.float64(0.007676017507910728), 'sad': np.float64(1.0578061771392822), 'surprise': np.float64(0.0013471971964463592), 'anger': np.float64(0.002618040451779962)}"
123,"{'disgust': np.float64(0.004994517266750336), 'fear': np.float64(0.0018145308271050452), 'happy': np.float64(0.004390054894611239), 'neutral': np.float64(0.006735842749476433), 'sad': np.float64(1.0593515861034395), 'surprise': np.float64(0.0013748558703809977), 'anger': np.float64(0.002568117982009426)}"
124,"{'disgust': np.float64(0.004351790621876716), 'fear': np.float64(0.002247117944061756), 'happy': np.float64(0.004028229881078005), 'neutral': np.float64(0.004398852642625571), 'sad': np.float64(1.0671093547344208), 'surprise': np.float64(0.0013371620792895556), 'anger': np.float64(0.0026671174343209716)}"
125,"{'disgust': np.float64(0.008770944476127624), 'fear': np.float64(0.0029054278135299686), 'happy': np.float64(0.005199170485138893), 'neutral': np.float64(0.004578314330428839), 'sad': np.float64(1.0552472496032714), 'surprise': np.float64(0.002236561360768974), 'anger': np.float64(0.0030449823790695517)}"
126,"{'disgust': np.float64(0.016201226860284808), 'fear': np.float64(0.00576591339893639), 'happy': np.float64(0.007995325932279229), 'neutral': np.float64(0.017339518200606106), 'sad': np.float64(0.9732974720001222), 'surprise': np.float64(0.014833500073291362), 'anger': np.float64(0.0034758220356889066)}"
127,"{'disgust': np.float64(0.021245889440178873), 'fear': np.float64(0.025388462170958515), 'happy': np.float64(0.008279306115582585), 'neutral': np.float64(0.018691529761999844), 'sad': np.float64(0.7914824703335762), 'surprise': np.float64(0.08407884147018194), 'anger': np.float64(0.004064024159451947)}"
128,"{'disgust': np.float64(0.022666997238993646), 'fear': np.float64(0.04908148895949125), 'happy': np.float64(0.0075537292286753654), 'neutral': np.float64(0.018486110735684635), 'sad': np.float64(0.5835185721516609), 'surprise': np.float64(0.1688012442784384), 'anger': np.float64(0.0042419890803284946)}"
129,"{'disgust': np.float64(0.02390396371483803), 'fear': np.float64(0.1013694118335843), 'happy': np.float64(0.007851536571979522), 'neutral': np.float64(0.018641407787799835), 'sad': np.float64(0.37176546551287176), 'surprise': np.float64(0.24198182467371226), 'anger': np.float64(0.0043607825622893875)}"
130,"{'disgust': np.float64(0.020729751437902448), 'fear': np.float64(0.1992812566459179), 'happy': np.float64(0.0068335913121700285), 'neutral': np.float64(0.017573272846639156), 'sad': np.float64(0.177332901135087), 'surprise': np.float64(0.2938733249902725), 'anger': np.float64(0.004530259517487139)}"
131,"{'disgust': np.float64(0.015959325283765792), 'fear': np.float64(0.2996930229663849), 'happy': np.float64(0.0038483747281134128), 'neutral': np.float64(0.004284877143800259), 'sad': np.float64(0.0538025163859129), 'surprise': np.float64(0.33072425425052643), 'anger': np.float64(0.004767374657094479)}"
132,"{'disgust': np.float64(0.012951158434152604), 'fear': np.float64(0.45323026835918423), 'happy': np.float64(0.002397122955881059), 'neutral': np.float64(0.0016065488290041684), 'sad': np.float64(0.03191950593143702), 'surprise': np.float64(0.28333985060453415), 'anger': np.float64(0.004994476684369147)}"
133,"{'disgust': np.float64(0.014739488065242768), 'fear': np.float64(0.5744072127342223), 'happy': np.float64(0.0023088914575055243), 'neutral': np.float64(0.0013814180996268987), 'sad': np.float64(0.0387023762986064), 'surprise': np.float64(0.22891326397657394), 'anger': np.float64(0.0056455225660465656)}"
134,"{'disgust': np.float64(0.017873222529888152), 'fear': np.float64(0.5893118262290955), 'happy': np.float64(0.0024180332897230984), 'neutral': np.float64(0.0016926636826246975), 'sad': np.float64(0.04395611751824617), 'surprise': np.float64(0.21778628677129747), 'anger': np.float64(0.006091140385251492)}"
135,"{'disgust': np.float64(0.02518143057823181), 'fear': np.float64(0.5555471348762512), 'happy': np.float64(0.002506450773216784), 'neutral': np.float64(0.002130806287750602), 'sad': np.float64(0.060739098824560654), 'surprise': np.float64(0.21883784979581833), 'anger': np.float64(0.007236313140019775)}"
136,"{'disgust': np.float64(0.026842054128646854), 'fear': np.float64(0.5632404327392578), 'happy': np.float64(0.002842389070428908), 'neutral': np.float64(0.002457367470487952), 'sad': np.float64(0.09782918442040682), 'surprise': np.float64(0.19686310440301896), 'anger': np.float64(0.008030116371810437)}"
137,"{'disgust': np.float64(0.0287124365568161), 'fear': np.float64(0.5113267135620118), 'happy': np.float64(0.0032183174043893814), 'neutral': np.float64(0.0028877767547965056), 'sad': np.float64(0.1442019007354975), 'surprise': np.float64(0.1952446848154068), 'anger': np.float64(0.008573880000039936)}"
138,"{'disgust': np.float64(0.03311367958784104), 'fear': np.float64(0.539708104133606), 'happy': np.float64(0.0032687409315258265), 'neutral': np.float64(0.0030009379237890244), 'sad': np.float64(0.15588713824748995), 'surprise': np.float64(0.17511877343058585), 'anger': np.float64(0.008860323335975409)}"
139,"{'disgust': np.float64(0.039310593307018284), 'fear': np.float64(0.6076903653144836), 'happy': np.float64(0.0031289285980165005), 'neutral': np.float64(0.003110126182436943), 'sad': np.float64(0.17683214351534846), 'surprise': np.float64(0.13329217210412025), 'anger': np.float64(0.009545171312056483)}"
140,"{'disgust': np.float64(0.03594231218099594), 'fear': np.float64(0.7001449012756348), 'happy': np.float64(0.0028466883581131698), 'neutral': np.float64(0.0028170036152005196), 'sad': np.float64(0.1796665658056736), 'surprise': np.float64(0.0962787188589573), 'anger': np.float64(0.009273449876345694)}"
141,"{'disgust': np.float64(0.03666335314512252), 'fear': np.float64(0.7234120845794678), 'happy': np.float64(0.002734933001920581), 'neutral': np.float64(0.0029806577041745184), 'sad': np.float64(0.1641201801598072), 'surprise': np.float64(0.09314366951584815), 'anger': np.float64(0.009046984021551907)}"
142,"{'disgust': np.float64(0.04226028084754944), 'fear': np.float64(0.7415484380722047), 'happy': np.float64(0.0026916037779301403), 'neutral': np.float64(0.0030441010743379594), 'sad': np.float64(0.13750526487827303), 'surprise': np.float64(0.09411194697022437), 'anger': np.float64(0.009286002409644426)}"
143,"{'disgust': np.float64(0.040710961222648626), 'fear': np.float64(0.7310157823562622), 'happy': np.float64(0.0026158031076192858), 'neutral': np.float64(0.002992052175104618), 'sad': np.float64(0.1494989985227585), 'surprise': np.float64(0.09409573450684547), 'anger': np.float64(0.009672359325923027)}"
144,"{'disgust': np.float64(0.03817935347557068), 'fear': np.float64(0.6809349346160889), 'happy': np.float64(0.0027827335055917502), 'neutral': np.float64(0.0034784105792641643), 'sad': np.float64(0.14825215995311736), 'surprise': np.float64(0.11633243784308434), 'anger': np.float64(0.009699871945194902)}"
145,"{'disgust': np.float64(0.04256046354770661), 'fear': np.float64(0.6555294942855834), 'happy': np.float64(0.0026970843784511088), 'neutral': np.float64(0.003492832966148854), 'sad': np.float64(0.1656329606473446), 'surprise': np.float64(0.11629001125693321), 'anger': np.float64(0.010053810481913387)}"
146,"{'disgust': np.float64(0.04473613619804383), 'fear': np.float64(0.5331744557619096), 'happy': np.float64(0.0027640459127724172), 'neutral': np.float64(0.004412784464657307), 'sad': np.float64(0.14265428960323334), 'surprise': np.float64(0.17523624524474143), 'anger': np.float64(0.009453603182919323)}"
147,"{'disgust': np.float64(0.04027516186237336), 'fear': np.float64(0.4169163537025451), 'happy': np.float64(0.0034455935005098582), 'neutral': np.float64(0.006274609453976154), 'sad': np.float64(0.12730442717671395), 'surprise': np.float64(0.23055923506617546), 'anger': np.float64(0.008674732609651983)}"
148,"{'disgust': np.float64(0.04873277008533479), 'fear': np.float64(0.28792004585266107), 'happy': np.float64(0.0040987264830619095), 'neutral': np.float64(0.0086345449462533), 'sad': np.float64(0.1179235500097275), 'surprise': np.float64(0.279474726319313), 'anger': np.float64(0.009963972447440027)}"
149,"{'disgust': np.float64(0.051485276222229), 'fear': np.float64(0.22281486868858336), 'happy': np.float64(0.005044919019564986), 'neutral': np.float64(0.012310870401561261), 'sad': np.float64(0.11688208103179931), 'surprise': np.float64(0.2997275471687317), 'anger': np.float64(0.01049600463360548)}"
150,"{'disgust': np.float64(0.05351349115371704), 'fear': np.float64(0.21945425391197207), 'happy': np.float64(0.005301784025505185), 'neutral': np.float64(0.012506923750042916), 'sad': np.float64(0.12039065033197402), 'surprise': np.float64(0.2977637842297554), 'anger': np.float64(0.010493842195719482)}"
151,"{'disgust': np.float64(0.05739345371723176), 'fear': np.float64(0.2802822142839432), 'happy': np.float64(0.005565335927531123), 'neutral': np.float64(0.012238901033997537), 'sad': np.float64(0.16811441317200662), 'surprise': np.float64(0.2481917068362236), 'anger': np.float64(0.011615859759040179)}"
152,"{'disgust': np.float64(0.07484118103981019), 'fear': np.float64(0.3306355082988739), 'happy': np.float64(0.005146266287192702), 'neutral': np.float64(0.011080802753567695), 'sad': np.float64(0.20675757393240932), 'surprise': np.float64(0.20040308684110641), 'anger': np.float64(0.012885989448986949)}"
153,"{'disgust': np.float64(0.07293153405189515), 'fear': np.float64(0.3570300257205963), 'happy': np.float64(0.005038610426709056), 'neutral': np.float64(0.010002289041876793), 'sad': np.float64(0.21198265254497528), 'surprise': np.float64(0.1898789659142494), 'anger': np.float64(0.011650408962741495)}"
154,"{'disgust': np.float64(0.06955781400203706), 'fear': np.float64(0.44507801771163935), 'happy': np.float64(0.0037902158219367266), 'neutral': np.float64(0.005879353657364845), 'sad': np.float64(0.21859358251094824), 'surprise': np.float64(0.15881936401128768), 'anger': np.float64(0.010897824135608972)}"
155,"{'disgust': np.float64(0.06607538044452668), 'fear': np.float64(0.3849913215637207), 'happy': np.float64(0.003800998767837882), 'neutral': np.float64(0.006262582316994667), 'sad': np.float64(0.19294944062829017), 'surprise': np.float64(0.19729841649532318), 'anger': np.float64(0.010279068662784996)}"
156,"{'disgust': np.float64(0.06698813736438751), 'fear': np.float64(0.4386120772361755), 'happy': np.float64(0.0034870534669607877), 'neutral': np.float64(0.005659820288419723), 'sad': np.float64(0.19544048205018044), 'surprise': np.float64(0.1743147313594818), 'anger': np.float64(0.010318390387110413)}"
157,"{'disgust': np.float64(0.06240708649158479), 'fear': np.float64(0.4553291988372803), 'happy': np.float64(0.003577065700665116), 'neutral': np.float64(0.006043004244565964), 'sad': np.float64(0.18799911424517632), 'surprise': np.float64(0.1729971170425415), 'anger': np.float64(0.010496665346436205)}"
158,"{'disgust': np.float64(0.06553747713565826), 'fear': np.float64(0.419982231259346), 'happy': np.float64(0.0036278713028877973), 'neutral': np.float64(0.006922203004360199), 'sad': np.float64(0.17750913113355637), 'surprise': np.float64(0.18923653066158294), 'anger': np.float64(0.011428887844085694)}"
159,"{'disgust': np.float64(0.07314168930053712), 'fear': np.float64(0.33736986637115474), 'happy': np.float64(0.004037890722975135), 'neutral': np.float64(0.009314382821321488), 'sad': np.float64(0.17016578316688538), 'surprise': np.float64(0.2187317430973053), 'anger': np.float64(0.012120842849835754)}"
160,"{'disgust': np.float64(0.08409097313880921), 'fear': np.float64(0.28176871955394744), 'happy': np.float64(0.004944178182631731), 'neutral': np.float64(0.01686616651713848), 'sad': np.float64(0.1859876848757267), 'surprise': np.float64(0.21734075546264647), 'anger': np.float64(0.013218480441719294)}"
161,"{'disgust': np.float64(0.083456529378891), 'fear': np.float64(0.16728759348392486), 'happy': np.float64(0.007575911562889814), 'neutral': np.float64(0.028603892028331756), 'sad': np.float64(0.15158376738429072), 'surprise': np.float64(0.26382761597633364), 'anger': np.float64(0.012873603790067138)}"
162,"{'disgust': np.float64(0.08067129373550416), 'fear': np.float64(0.08836982935667037), 'happy': np.float64(0.009910450503230094), 'neutral': np.float64(0.03968459516763687), 'sad': np.float64(0.15433118149638178), 'surprise': np.float64(0.28111361563205717), 'anger': np.float64(0.012271857811138034)}"
163,"{'disgust': np.float64(0.11277167797088623), 'fear': np.float64(0.11437295347452163), 'happy': np.float64(0.00993454847484827), 'neutral': np.float64(0.03907983213663101), 'sad': np.float64(0.21173255115747452), 'surprise': np.float64(0.224822236597538), 'anger': np.float64(0.012484655845910311)}"
164,"{'disgust': np.float64(0.1541572940349579), 'fear': np.float64(0.13770448297262192), 'happy': np.float64(0.009755778079852461), 'neutral': np.float64(0.03709384754300117), 'sad': np.float64(0.25207468748092654), 'surprise': np.float64(0.1735366940498352), 'anger': np.float64(0.012620950494892896)}"
165,"{'disgust': np.float64(0.17019525051116946), 'fear': np.float64(0.1328620755672455), 'happy': np.float64(0.011656735884025693), 'neutral': np.float64(0.04215843752026558), 'sad': np.float64(0.2627160292863846), 'surprise': np.float64(0.15247635543346405), 'anger': np.float64(0.012531763068400323)}"
166,"{'disgust': np.float64(0.18745946764945984), 'fear': np.float64(0.1276801796257496), 'happy': np.float64(0.011262164684012532), 'neutral': np.float64(0.045587454587221146), 'sad': np.float64(0.26522985458374027), 'surprise': np.float64(0.1386665493249893), 'anger': np.float64(0.013427389408461752)}"
167,"{'disgust': np.float64(0.2023503112792969), 'fear': np.float64(0.1192720252275467), 'happy': np.float64(0.011470034765079618), 'neutral': np.float64(0.06387265637516976), 'sad': np.float64(0.24671938344836236), 'surprise': np.float64(0.11822175532579422), 'anger': np.float64(0.013370888861827555)}"
168,"{'disgust': np.float64(0.1899904894828796), 'fear': np.float64(0.07590199917554856), 'happy': np.float64(0.013709305273368954), 'neutral': np.float64(0.07896313324570656), 'sad': np.float64(0.21548005118966101), 'surprise': np.float64(0.13730726540088653), 'anger': np.float64(0.012177704428322614)}"
169,"{'disgust': np.float64(0.1614348936080933), 'fear': np.float64(0.04099369078874587), 'happy': np.float64(0.014779186435043811), 'neutral': np.float64(0.08705904841423036), 'sad': np.float64(0.21859982267022135), 'surprise': np.float64(0.1571055218577385), 'anger': np.float64(0.012092573377303779)}"
170,"{'disgust': np.float64(0.1370339298248291), 'fear': np.float64(0.034601444676518434), 'happy': np.float64(0.014550858922302724), 'neutral': np.float64(0.12560578107833864), 'sad': np.float64(0.1862801314890385), 'surprise': np.float64(0.14201270490884782), 'anger': np.float64(0.010496306840796023)}"
171,"{'disgust': np.float64(0.12364658474922181), 'fear': np.float64(0.02960964895784855), 'happy': np.float64(0.01395037230104208), 'neutral': np.float64(0.15274766206741336), 'sad': np.float64(0.1784752379357815), 'surprise': np.float64(0.1228868156671524), 'anger': np.float64(0.009217270447406918)}"
172,"{'disgust': np.float64(0.11378183722496034), 'fear': np.float64(0.02985143132507801), 'happy': np.float64(0.012522201612591743), 'neutral': np.float64(0.15631943702697754), 'sad': np.float64(0.1987557211518288), 'surprise': np.float64(0.11676045358181), 'anger': np.float64(0.008821260512340815)}"
173,"{'disgust': np.float64(0.0888425374031067), 'fear': np.float64(0.02341371964663267), 'happy': np.float64(0.011398502066731453), 'neutral': np.float64(0.19356611728668213), 'sad': np.float64(0.17112582683563232), 'surprise': np.float64(0.10231345444917679), 'anger': np.float64(0.007834425342734904)}"
174,"{'disgust': np.float64(0.07753054261207581), 'fear': np.float64(0.01130688663572073), 'happy': np.float64(0.01285990495234728), 'neutral': np.float64(0.22972231626510622), 'sad': np.float64(0.12527897834777832), 'surprise': np.float64(0.08870454579591751), 'anger': np.float64(0.007253123351838439)}"
175,"{'disgust': np.float64(0.08996887326240541), 'fear': np.float64(0.013121543638408183), 'happy': np.float64(0.011781026050448418), 'neutral': np.float64(0.21033337831497195), 'sad': np.float64(0.1597961562871933), 'surprise': np.float64(0.08965944647789001), 'anger': np.float64(0.008123957803472876)}"
176,"{'disgust': np.float64(0.09021485805511475), 'fear': np.float64(0.012743831053376198), 'happy': np.float64(0.011840570904314517), 'neutral': np.float64(0.21986661672592164), 'sad': np.float64(0.17209974080324172), 'surprise': np.float64(0.07215171828866004), 'anger': np.float64(0.007768963887356222)}"
177,"{'disgust': np.float64(0.08258868575096132), 'fear': np.float64(0.010814701616764066), 'happy': np.float64(0.011938817985355853), 'neutral': np.float64(0.23758211612701413), 'sad': np.float64(0.16783582866191865), 'surprise': np.float64(0.057539143785834315), 'anger': np.float64(0.0070142022590152925)}"
178,"{'disgust': np.float64(0.08738422036170959), 'fear': np.float64(0.010272559225559235), 'happy': np.float64(0.011731437034904956), 'neutral': np.float64(0.2376400423049927), 'sad': np.float64(0.18541336894035337), 'surprise': np.float64(0.046936207078397275), 'anger': np.float64(0.006870423019863665)}"
179,"{'disgust': np.float64(0.10986878633499146), 'fear': np.float64(0.009473362863063812), 'happy': np.float64(0.009932711999863387), 'neutral': np.float64(0.21453908205032346), 'sad': np.float64(0.2521105843782425), 'surprise': np.float64(0.03361926916986704), 'anger': np.float64(0.006591942016966642)}"
180,"{'disgust': np.float64(0.09961387991905213), 'fear': np.float64(0.006267518810927868), 'happy': np.float64(0.009559379983693361), 'neutral': np.float64(0.24409065961837767), 'sad': np.float64(0.22277447119355204), 'surprise': np.float64(0.018295591697096825), 'anger': np.float64(0.005582692630123348)}"
181,"{'disgust': np.float64(0.10563790917396546), 'fear': np.float64(0.005370334591716528), 'happy': np.float64(0.00905180098488927), 'neutral': np.float64(0.22134912967681886), 'sad': np.float64(0.2915818111598492), 'surprise': np.float64(0.012541081197559834), 'anger': np.float64(0.005717531603295356)}"
182,"{'disgust': np.float64(0.09936192691326143), 'fear': np.float64(0.00433776956051588), 'happy': np.float64(0.01006325362250209), 'neutral': np.float64(0.20579912662506103), 'sad': np.float64(0.3483582191169262), 'surprise': np.float64(0.009537767991423607), 'anger': np.float64(0.005560251851566137)}"
183,"{'disgust': np.float64(0.08691819369792939), 'fear': np.float64(0.0037732654530555007), 'happy': np.float64(0.009296771697700023), 'neutral': np.float64(0.15778849005699155), 'sad': np.float64(0.5055444251000882), 'surprise': np.float64(0.00689796571386978), 'anger': np.float64(0.005460094239097088)}"
184,"{'disgust': np.float64(0.05014065831899643), 'fear': np.float64(0.0024797995481640103), 'happy': np.float64(0.009864650201052427), 'neutral': np.float64(0.15319620490074157), 'sad': np.float64(0.5752478598058224), 'surprise': np.float64(0.004062475392129272), 'anger': np.float64(0.004526960933580995)}"
185,"{'disgust': np.float64(0.03896689653396607), 'fear': np.float64(0.0023097721114754676), 'happy': np.float64(0.010482218768447637), 'neutral': np.float64(0.10664088487625123), 'sad': np.float64(0.720732941031456), 'surprise': np.float64(0.00256534512154758), 'anger': np.float64(0.004518155062105507)}"
186,"{'disgust': np.float64(0.02302866339683533), 'fear': np.float64(0.0020202456414699552), 'happy': np.float64(0.011555560771375895), 'neutral': np.float64(0.09891759157180788), 'sad': np.float64(0.7640294247865678), 'surprise': np.float64(0.0015611654380336404), 'anger': np.float64(0.004436113785486669)}"
187,"{'disgust': np.float64(0.019544302523136138), 'fear': np.float64(0.0019086273014545438), 'happy': np.float64(0.010657159704715013), 'neutral': np.float64(0.07983021259307863), 'sad': np.float64(0.8244457519054414), 'surprise': np.float64(0.0010361294262111187), 'anger': np.float64(0.004714646972715855)}"
188,"{'disgust': np.float64(0.017989957481622697), 'fear': np.float64(0.001892434833571315), 'happy': np.float64(0.012691648118197918), 'neutral': np.float64(0.10300901293754579), 'sad': np.float64(0.7583937168121337), 'surprise': np.float64(0.0010474890586920083), 'anger': np.float64(0.004606260403525085)}"
189,"{'disgust': np.float64(0.018053046315908435), 'fear': np.float64(0.001838072827085853), 'happy': np.float64(0.011794407200068236), 'neutral': np.float64(0.10595598816871643), 'sad': np.float64(0.7522733056545257), 'surprise': np.float64(0.0010071518365293742), 'anger': np.float64(0.004724675819743425)}"
190,"{'disgust': np.float64(0.016978099942207333), 'fear': np.float64(0.0017779495753347876), 'happy': np.float64(0.010592808108776807), 'neutral': np.float64(0.09924519538879395), 'sad': np.float64(0.7750620329380035), 'surprise': np.float64(0.0009782225242815912), 'anger': np.float64(0.004460553989047184)}"
191,"{'disgust': np.float64(0.011655146479606629), 'fear': np.float64(0.0016479468159377574), 'happy': np.float64(0.009296903479844331), 'neutral': np.float64(0.0856381279230118), 'sad': np.float64(0.8232584333419799), 'surprise': np.float64(0.0008716697338968515), 'anger': np.float64(0.003746599967125803)}"
192,"{'disgust': np.float64(0.00938276454806328), 'fear': np.float64(0.0015881327446550131), 'happy': np.float64(0.008595202397555114), 'neutral': np.float64(0.08071376264095306), 'sad': np.float64(0.8418794882297516), 'surprise': np.float64(0.0007760212873108685), 'anger': np.float64(0.003336497736163438)}"
193,"{'disgust': np.float64(0.008398030996322633), 'fear': np.float64(0.0015209584403783082), 'happy': np.float64(0.006431938800960779), 'neutral': np.float64(0.057285475730896), 'sad': np.float64(0.9126849675178528), 'surprise': np.float64(0.0006932032527402043), 'anger': np.float64(0.0032780946628190575)}"
