Category,emo_anger,emo_disgust,emo_fear,emo_joy,emo_sadness,emo_surprise
garden,0.12488984195993184,0.10092574718624892,0.11353621996357441,0.3422285076418206,0.15870940938504535,0.15971027386337885
cheese shop,0.0924699809224554,0.07746979388770434,0.08143493061010736,0.46466913552538064,0.10784423745931994,0.17611192159503236
vietnamese restaurant,0.08989596266643833,0.07711178661643191,0.10012415978079377,0.4692683135676671,0.0970672603502162,0.1665325170184527
salad place,0.09406722755460757,0.08160524548722202,0.10150491764427065,0.4466958960382352,0.10752063830627641,0.16860607496938815
car wash,0.1363490234950572,0.16445200525089076,0.12395852867897232,0.2884105339298631,0.14918155758566184,0.13764835105955475
japanese restaurant,0.0968721996277659,0.0814210381195285,0.0997794168332529,0.4415644171779141,0.10651926656097056,0.173843661680568
photography lab,0.1240739587872751,0.06648820270186143,0.13174687169270996,0.3925792193239121,0.12186391085102409,0.16324783664321732
courthouse,0.12636847044103847,0.0722552392868314,0.16202690021895527,0.35533312480450424,0.12730685017203627,0.15670941507663436
music venue,0.10042105546363184,0.07268923954423773,0.09642573684706135,0.4225083067651371,0.15532641887619894,0.152629242503733
mobile phone shop,0.16219671926651283,0.11008544876192852,0.16093369924530657,0.2458523046217177,0.18192166157300568,0.13901016653152873
southern / soul food restaurant,0.10596631214594045,0.0693227211897407,0.1349249871708441,0.42697443224696374,0.0984750913134037,0.16433645593310728
baseball field,0.12504051863857374,0.08573743922204213,0.13209076175040518,0.38905996758508915,0.11693679092382496,0.15113452188006482
german restaurant,0.0816384477863077,0.06574823851088442,0.08409927437164791,0.4982963508255337,0.10188242717425597,0.16833526133137028
vegetarian / vegan restaurant,0.08842308574128241,0.07067408678574985,0.09015074143293524,0.480577768822994,0.09966211130641803,0.17051220591062044
hardware store,0.1366325085395318,0.10464050654003165,0.13041184148407342,0.32441889527618095,0.15287844705490294,0.15101780110527924
mexican restaurant,0.0927808201339246,0.07886844586569747,0.09828643492104833,0.46979940684662314,0.10029363931614056,0.1599712529165659
whisky bar,0.0910345532610918,0.07564915150276018,0.09333469638110815,0.44402985074626866,0.13136372929871193,0.1645880188100593
ramen / noodle house,0.08932786044125192,0.07827945955190696,0.10102616726526424,0.44908500085513936,0.10742260988541132,0.17485890200102616
latin american restaurant,0.08140582085461288,0.06822135581274368,0.08762606910516807,0.49322876752940914,0.10085528413445134,0.1686627025636149
chinese breakfast place,0.10584574674712789,0.09111311110341884,0.12158414775327787,0.4331483340448691,0.09600155384017754,0.1523071065111288
office,0.1381245316374009,0.10491322219804868,0.14712024661228668,0.2943329833423196,0.17478425103499595,0.14072476517494822
indian restaurant,0.11901171827734808,0.06363145598897979,0.1158378242537626,0.4724727519801934,0.08589059838606093,0.1431556511136552
cuban restaurant,0.08388438032261296,0.0651487826871055,0.08683999599238554,0.49045686804929367,0.10760444845205891,0.16606552449654344
emergency room,0.10953183971733718,0.09668353007307476,0.26901148317674456,0.17024010278647717,0.24684814904039187,0.10768489520597446
peruvian restaurant,0.08021540810995459,0.07189647550536511,0.10396656351726077,0.4737370895792308,0.09938512237270426,0.17079934091548446
hiking trail,0.10063317223033981,0.07358285564422465,0.13727473680266758,0.3887452699411787,0.13412760855719155,0.16563635682439773
greek restaurant,0.07806224352689109,0.07182336492718887,0.09587100991393398,0.5009913933979736,0.09483240730653303,0.1584195809274794
coffee shop,0.09104905042849146,0.07229447482881875,0.08444403772447354,0.47478216556852276,0.10535183669953921,0.1720784347501543
malaysian restaurant,0.0840806777498139,0.07511254475204708,0.12449044698876324,0.4662011272198788,0.09109921661763141,0.1590159866718656
korean restaurant,0.10768732667971115,0.06929292360534355,0.10143723869986909,0.4642661073494841,0.0925477554582694,0.16476864820732273
rental car location,0.1467611988398324,0.1142048913238085,0.15266945966269202,0.2572134493500913,0.1804203817094568,0.14873061911411894
pub,0.09207083643173869,0.07460271558015918,0.09420529345341376,0.4660001652482855,0.11252719711366328,0.16059379217273953
golf course,0.1346789299770589,0.08117778292256857,0.12116683854944962,0.37661271651968936,0.13038536821501484,0.1559783638162187
museum,0.10022051068997476,0.06880572688632514,0.1191503414187253,0.38654352156637156,0.1382825732638778,0.18699732617472542
grocery store,0.11432901703337126,0.0875347240368728,0.1156114445601354,0.4016289643694195,0.11740443100821317,0.16349141899198785
african restaurant,0.09158846020159889,0.06699687174139729,0.09919186652763295,0.48075251998609664,0.09814911366006257,0.1633211678832117
car dealership,0.1452623486450125,0.1139513528519871,0.1569820829863113,0.2604907425203408,0.16932111815832745,0.1539923548380208
middle eastern restaurant,0.0801037638882091,0.06506778914394792,0.10541823699280505,0.4988693651803632,0.09300572659194362,0.15753511820273114
candy store,0.09180234759560772,0.05925785687239682,0.09047709201060204,0.47421431276031806,0.09778492995077621,0.18646346081029913
accessories store,0.10445381397374888,0.08408741606463331,0.09692531498878122,0.4028322278932531,0.13639240246237805,0.17530882461720543
real estate office,0.16025522470871092,0.12842816924562808,0.16206974498078622,0.24805499044448553,0.17932104473624724,0.12187082588414196
diner,0.09930520619467824,0.08538213659292697,0.10058873917358968,0.4447088256489048,0.11067208723673297,0.15934300515316735
pet store,0.10858860578299456,0.10528676400419887,0.1328084740910392,0.3630880809237523,0.15003340013360053,0.14019467506441455
gay bar,0.10789836024533733,0.07998497934660158,0.11215421204155714,0.41306796845662785,0.13819001126549005,0.14870446864438602
lounge,0.0958167459194013,0.0781433228464192,0.09273898209887553,0.4443213170248536,0.12250714413118637,0.166472487979264
convenience store,0.12886366190850848,0.10035217863699375,0.14838335019294893,0.33691131842194,0.14002847401745908,0.1454610168221498
tattoo parlor,0.1033711790393013,0.09282096069868996,0.12598544395924308,0.39261717612809316,0.14592139737991267,0.13928384279475983
department store,0.1259880555067627,0.10370191463200422,0.12991100181509457,0.33533872006557763,0.13924995608642193,0.165810351894139
zoo,0.10233498565092616,0.07318027654578659,0.11231411427080616,0.427363248978172,0.10907470214801288,0.1757326724062962
hobby shop,0.10409356725146199,0.0783625730994152,0.10106462738041685,0.4172739541160594,0.1227170490328385,0.17648822911980808
pet service,0.11010323364202217,0.09495631892018715,0.15706556992423093,0.3262452213036698,0.16999737775508234,0.1416322784548077
french restaurant,0.07921984665632022,0.06941233698547636,0.08186050821153089,0.477399180005096,0.11089851983970721,0.1812096083018693
building,0.12866078213596774,0.0886917636055416,0.16179049511895716,0.3279651604606302,0.1398696440053779,0.15302215467352545
hospital,0.10873532560057557,0.09703090178461754,0.2579798901503852,0.1849281415059575,0.24631056205801324,0.10501517890045098
market,0.10047716428084526,0.07787321063394682,0.09306066802999319,0.45063394683026586,0.10699386503067485,0.17096114519427402
post office,0.1527172763797843,0.11968703742863185,0.1670120532882216,0.23654049481920067,0.19035736942271092,0.13368576866145063
veterinarian,0.11108155170745865,0.0977838508916191,0.20512882525555448,0.248649672696785,0.20325449034213666,0.1341016091064461
resort,0.13798745135414184,0.1117147168612501,0.11619410690175522,0.3401477245651656,0.14855055198157413,0.1454054483361131
spanish restaurant,0.07855551232624766,0.0731557787759818,0.08109032174394888,0.49459437154411157,0.10147490538676476,0.17112911022294533
sports bar,0.10477860419985408,0.08620511821401149,0.11553991847836467,0.4183885915552143,0.11901241925194159,0.1560753483006139
yoga studio,0.12312605416142261,0.08015479584585485,0.12304899870718071,0.3796350996155789,0.1421587513591726,0.15187630031079033
parking,0.16261570941373896,0.11194716613435825,0.16407730200833648,0.23309695230877497,0.18372760244681427,0.14453526768797706
tea room,0.0865652398143373,0.06776689014956162,0.08091799896854049,0.47119649303764827,0.10711707065497679,0.18643630737493552
medical center,0.1143921687820318,0.1021611310827665,0.23467976061962206,0.2147768123840567,0.2095626382149183,0.12442748891660466
bridal shop,0.0955073903137232,0.074978091955366,0.09665245077992639,0.44510136121983995,0.13840042063445698,0.1493602850966875
gastropub,0.08667941363926067,0.07127098522892023,0.09097976593196479,0.4805818782874232,0.10512050091399996,0.16536745599843114
arts & crafts store,0.09321306297234559,0.07323277826653805,0.08762706295114635,0.43142575495797253,0.1289231845499931,0.1855781563020044
hookah bar,0.1059245960502693,0.08590664272890484,0.10538599640933573,0.4061041292639138,0.1455116696588869,0.15116696588868941
shoe store,0.11082287644787644,0.08278535231660232,0.11190878378378379,0.3777298503861004,0.14424469111969113,0.17250844594594594
ethiopian restaurant,0.06607574536663981,0.05701047542304593,0.06914786462530217,0.5766015310233682,0.07705479452054795,0.1541095890410959
caribbean restaurant,0.10376745274433842,0.060034840487766826,0.11219157068198955,0.45628038792543096,0.09111827565585918,0.17660747250461506
moroccan restaurant,0.07530120481927711,0.06212349397590362,0.09657379518072289,0.5096009036144579,0.09469126506024096,0.1617093373493976
